New Per Budget Aprobado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KPIS (ARS),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,Net ASP New Client,191.330,188.109,166.636,175.310,184.760,212.113,185.589,147.298,152.163,145.755,148.680,151.803,149.118,146.482,151.803,149.412,147.204,151.803,150.002,148.517,151.803,150.151,148.517,151.803
,,Direct Cost Client,(24.176),(26.212),(26.348),(34.186),(27.916),(28.573),(32.400),(27.954),(30.209),(33.026),(26.923),(24.807),(30.098),(31.289),(28.895),(29.550),(29.147),(31.536),(33.254),(33.018),(31.962),(32.074),(30.985),(30.577)
,,Gross Margin,167.154,161.896,140.288,141.123,156.843,183.540,153.188,119.344,121.954,112.729,121.757,126.995,119.021,115.193,122.908,119.862,118.057,120.267,116.749,115.500,119.840,118.077,117.532,121.226
,,% Gross Margin,"87,36%","86,07%","84,19%","80,50%","84,89%","86,53%","82,54%","81,02%","80,15%","77,34%","81,89%","83,66%","79,82%","78,64%","80,97%","80,22%","80,20%","79,23%","77,83%","77,77%","78,94%","78,64%","79,14%","79,86%"
,,CAC x Client,1.332.454,1.534.446,1.466.582,890.056,1.262.719,2.272.211,2.257.913,1.681.916,2.272.047,1.718.650,1.718.510,2.220.003,2.192.628,1.828.135,1.661.689,1.560.802,1.380.642,1.265.851,1.211.323,1.082.207,1.015.509,991.073,898.583,845.730
,,Total CAC,63.957.783,65.981.168,70.395.931,67.644.241,83.339.421,88.616.226,76.769.049,65.594.728,97.698.025,67.027.346,94.518.056,122.100.149,131.557.682,126.141.308,129.611.772,135.789.734,132.541.609,132.914.307,138.090.872,133.111.478,134.047.224,139.741.243,134.787.420,134.471.017
,,New Clients (#),48,43,48,76,66,39,34,39,43,39,55,55,60,69,78,87,96,105,114,123,132,141,150,159
,,CAC Payback (Months),8,9,10,6,8,12,15,14,19,15,14,17,18,16,14,13,12,11,10,9,8,8,8,7
,,Net Churn %,"1,09%","1,23%","0,80%","1,47%","1,36%","2,13%","2,16%","1,55%","1,48%","1,47%","1,35%","1,45%","1,34%","1,33%","1,21%","1,22%","1,10%","1,05%","0,96%","0,92%","0,76%","0,75%","0,71%","0,64%"
,,Gross Churn %,"1,58%","1,80%","1,44%","2,13%","2,03%","2,02%","1,64%","1,93%","1,86%","1,91%","1,76%","1,83%","1,95%","1,98%","1,93%","1,92%","1,85%","1,86%","1,77%","1,77%","1,67%","1,68%","1,67%","1,65%"
,,Customer Lifetime,92,81,125,68,73,47,46,65,68,68,74,69,74,75,82,82,91,95,104,109,131,134,141,157
,,LTV (DR 15%),9.381.114,8.448.727,9.180.600,6.581.222,7.684.824,6.606.888,5.453.697,5.382.392,5.682.017,5.275.970,6.016.200,5.980.510,5.892.270,5.723.735,6.472.949,6.294.136,6.584.877,6.878.072,7.014.337,7.096.588,8.005.243,7.952.195,8.086.230,8.676.231
,,rCAC: LTC/CAC,"7,04x","5,51x","6,26x","7,39x","6,09x","2,91x","2,42x","3,20x","2,50x","3,07x","3,50x","2,69x","2,69x","3,13x","3,90x","4,03x","4,77x","5,43x","5,79x","6,56x","7,88x","8,02x","9,00x","10,26x"
,,NRR,"98,91%","98,77%","99,20%","98,53%","98,64%","97,87%","97,84%","98,45%","98,52%","98,53%","98,65%","98,55%","98,66%","98,67%","98,79%","98,78%","98,90%","98,95%","99,04%","99,08%","99,24%","99,25%","99,29%","99,36%"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Clients (#),ene-25,feb-25,mar-25,abr-25,may-25,jun-25,jul-25,ago-25,sept-25,oct-25,nov-25,dic-25,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sept-26,oct-26,nov-26,dic-26
,,BoP ,2.765,2.778,2.778,2.792,2.818,2.845,2.839,2.834,2.831,2.826,2.824,2.834,2.844,2.859,2.882,2.917,2.958,3.010,3.072,3.142,3.220,3.310,3.407,3.512
,,New,48,43,48,76,66,39,34,39,43,39,55,55,60,69,78,87,96,105,114,123,132,141,150,159
,,Churn,(35),(43),(34),(50),(39),(45),(39),(42),(48),(41),(45),(45),(45),(46),(43),(46),(44),(43),(44),(45),(42),(44),(45),(44)
,,EoP,2.778,2.778,2.792,2.818,2.845,2.839,2.834,2.831,2.826,2.824,2.834,2.844,2.859,2.882,2.917,2.958,3.010,3.072,3.142,3.220,3.310,3.407,3.512,3.626
